Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0034421728666082,-0.000593582314044209,0.0800225110677588,0,0,0,0.461792601094851,0.00103940886102509,5.8492004688105E-06,-4.21789087708625E-06,0.00145552483450489,5.85702311398782E-06,0.00181351390148521,0,0,0,0,0,0,package://exomy_model/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://exomy_model/meshes/base_link.STL,,P01_Chassis-1;P03_Bogie_Bearing-1;A08_Top_Assembly-1/P11_Top-1;A08_Top_Assembly-1/P21_Mast-1;A08_Top_Assembly-1/P12_Solar_Panel-1;A08_Top_Assembly-1/P12_Solar_Panel-2;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MRB_link,-4.75494816076468E-06,0.0051724456441953,-0.053203691874464,0,0,0,0.108378302988404,4.87361081203044E-05,1.48702296200904E-09,1.51142077198518E-08,0.000292228221201162,-2.65262441630944E-07,0.000257396094560756,0,0,0,0,0,0,package://exomy_model/meshes/MRB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://exomy_model/meshes/MRB_link.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/P19_Bogie-2;A05_Bogie-1/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-1/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_MRB_joint,Axis_MRB_joint,MRB_joint,continuous,-0.082,0,0.017,1.5708,0,1.5708,base_link,0,0,-1,0,0,-1,1,,,,,,,,
STR_LR_link,-0.0124570291004618,0.000225486285520493,-0.0337605009553561,0,0,0,0.0711741624806848,3.36879478479992E-05,-8.98028473571259E-09,-4.73850731914457E-06,4.10598360484869E-05,-1.40355471129967E-07,1.59152321238695E-05,0,0,0,0,0,0,package://exomy_model/meshes/STR_LR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_model/meshes/STR_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LR_joint,Axis_STR_LR_joint,STR_LR_joint,continuous,0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
DRV_LR_link,-4.38837843702578E-08,0.000210617627838187,-0.00746718154845782,0,0,0,0.0569725827075565,5.23057476713962E-05,1.42808035334225E-11,-1.21312260607476E-11,5.21106389985384E-05,6.30117671071211E-08,8.04986816304342E-05,0,0,0,0,0,0,package://exomy_model/meshes/DRV_LR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_model/meshes/DRV_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LR_joint,Axis_DRV_LR_joint,DRV_LR_joint,continuous,0.0023862,0,-0.057244,-1.5708,0,1.5708,STR_LR_link,0,0,1,,,,,,,,,,,,
STR_RR_link,-0.0124555119207003,-0.000225533347029169,-0.0337608863888986,0,0,0,0.071173105016733,3.36872651590183E-05,8.0792108133717E-09,-4.74135535852484E-06,4.10633342810781E-05,1.40511475060441E-07,1.59192004795905E-05,0,0,0,0,0,0,package://exomy_model/meshes/STR_RR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_model/meshes/STR_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RR_joint,Axis_STR_RR_joint,STR_RR_joint,continuous,-0.103779999964964,-0.0154182000000004,-0.0807754997113281,1.5707963267949,-1.5707963267949,0,MRB_link,0,0,-1,0,0,0,0,,,,,,,,
DRV_RR_link,-4.38837843980133E-08,0.000210617627838181,-0.00746718154845791,0,0,0,0.0569725827075564,5.23057476713962E-05,1.4280803567856E-11,-1.21312261132926E-11,5.21106389985384E-05,6.30117671071784E-08,8.04986816304342E-05,0,0,0,0,0,0,package://exomy_model/meshes/DRV_RR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_model/meshes/DRV_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RR_joint,Axis_DRV_RR_joint,DRV_RR_joint,continuous,0.00238620000000062,0,-0.05724350028868,-1.5707963267949,0,1.57079632679492,STR_RR_link,0,0,1,,,,,,,,,,,,
RFB_link,-8.38457132264075E-05,-0.00628204153226714,-0.0263258310482545,0,0,0,0.0924731809037187,2.29568915420578E-05,1.58188457098278E-06,8.63143998755461E-09,0.000122728602083747,4.1818097875421E-07,0.000113483415744406,0,0,0,0,0,0,package://exomy_model/meshes/RFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://exomy_model/meshes/RFB_link.STL,,A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/Parallax-Servo-ASM-3/Parallax-Servo-1;A05_Bogie-3/Parallax-Servo-ASM-2/Parallax-Servo-1,Origin_RFB_joint,Axis_RFB_joint,RFB_joint,continuous,0.055,-0.0619999999999967,0.017,-1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
STR_RF_link,0.000225535399357379,-0.0124555107840924,-0.0337608839210725,0,0,0,0.0711731123513564,4.10633381534302E-05,-8.08388203962856E-09,-1.40514255173095E-07,3.36872678189233E-05,-4.74135711620157E-06,1.5919203009283E-05,0,0,0,0,0,0,package://exomy_model/meshes/STR_RF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_model/meshes/STR_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RF_joint,Axis_STR_RF_joint,STR_RF_joint,continuous,0.0802349319288146,0.0141448430183208,-0.0417754997113241,1.5707963267949,0,-0.015893290716378,RFB_link,0,0,1,0,0,0,0,,,,,,,,
DRV_RF_link,3.39114450861877E-06,0.000210590330311941,0.00746718154845911,0,0,0,0.0569725827075563,5.23056979378795E-05,-3.1146702870726E-09,-1.01355186737367E-09,5.21106887320552E-05,-6.30036161957909E-08,8.04986816304343E-05,0,0,0,0,0,0,package://exomy_model/meshes/DRV_RF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_model/meshes/DRV_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RF_joint,Axis_DRV_RF_joint,DRV_RF_joint,continuous,0,0.00238620000000062,-0.05724350028868,-1.5707963267949,0.015893290716378,0,STR_RF_link,0,0,-1,,,,,,,,,,,,
STR_RM_link,-0.000225484526532056,-0.0124570290148926,-0.0337605008492651,0,0,0,0.0711741620458433,4.1059835210984E-05,8.97622797173443E-09,1.4035214941618E-07,3.36879468051002E-05,-4.73850702378181E-06,1.59152316780868E-05,0,0,0,0,0,0,package://exomy_model/meshes/STR_RM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_model/meshes/STR_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RM_joint,Axis_STR_RM_joint,STR_RM_joint,continuous,-0.0797448607263364,0.0166876624779333,-0.0417754996999998,1.5707963267949,0,-0.0158932907163782,RFB_link,0,0,1,,,,,,,,,,,,
